Tool name: mimodd_reheader/0.1.8_1
Dataset_path: ../experiments/Experiment 1 - Removing faulty data/data/mimodd_reheader-0.1.8_1/Ready/mimodd_reheader-0.1.8_1-only-valid.txt
Seed: 0
Model_params: [["bootstrap", true], ["ccp_alpha", 0.0], ["criterion", "squared_error"], ["max_depth", null], ["max_features", 1.0], ["max_leaf_nodes", null], ["max_samples", null], ["min_impurity_decrease", 0.0], ["min_samples_leaf", 1], ["min_samples_split", 2], ["min_weight_fraction_leaf", 0.0], ["n_estimators", 200], ["n_jobs", null], ["oob_score", false], ["random_state", 0], ["verbose", 2], ["warm_start", false]]
Time for training in mins: 0.2669991294542948
Feature importance: [1. 0. 0.]
Mean absolute error: 0.03772285609002345
Mean squared error: 0.08567523526890042
Root mean squared error: 0.2927033229550024
R2 Score: -0.12786214394275097
############################
Filesize (GB), Prediction (GB), Target (GB), Create_time
############################
0.040070285,0.22649579520000038,0.224763904,2021-11-17 18:42:05.205342
0.005564273,0.15396149247999977,0.154656768,2021-04-22 15:45:25.264564
0.020483731,0.18590689280000006,0.185540608,2021-07-30 21:51:11.734196
0.137885951,0.4201096601599996,0.423047168,2021-06-25 01:38:04.816534
0.037704362,0.20327170047999985,0.220459008,2021-08-04 23:57:01.4202
0.161858659,0.4668873932800007,0.470355968,2021-09-20 23:33:24.115329
0.063199376,0.27128365056000026,0.271126528,2021-08-18 18:36:24.863911
0.150712677,0.549529743360002,0.446619648,2021-09-30 03:36:49.954711
0.076344696,0.2975135744000005,0.294211584,2021-05-14 16:31:51.331775
0.139631203,0.4237782016000007,0.421195776,2021-04-27 23:47:54.508746
0.101659264,0.3521154048000001,0.303378432,2021-11-15 17:39:04.143563
0.041037156,0.22878885888,0.220516352,2021-05-12 14:33:05.692522
0.090237896,0.3283445555200006,0.32202752,2021-05-04 03:30:05.708799
0.050864136,0.24689887232000005,0.246530048,2021-10-03 16:32:46.946318
0.121087515,0.39246168064000064,0.38725632,2021-10-10 10:37:17.157384
0.158180362,0.4595417497599988,0.461078528,2021-11-17 01:34:17.137508
0.130254674,0.40550203391999945,0.40620032,2021-07-11 02:34:17.04441
0.137906167,0.41850955776000026,0.420806656,2021-10-20 18:34:06.033158
0.147830472,0.43837231103999974,0.4375552,2021-05-12 08:33:05.633629
0.072930454,0.28839258112000044,0.29165568,2021-06-24 14:35:31.653651
0.086384158,0.3176839987199992,0.314261504,2021-04-16 05:33:53.649941
0.067012795,0.2834399027199998,0.275648512,2021-05-14 01:32:23.737115
0.116878986,0.3799240704000005,0.378277888,2021-05-10 08:32:44.60525
0.105606253,0.35511828480000013,0.356339712,2021-11-15 01:35:56.316391
0.127556184,0.3977586544640003,0.397467648,2021-04-16 20:43:16.295
0.063320467,0.2709142732800008,0.271511552,2021-11-15 04:38:07.440154
0.131122004,0.4050438963199994,0.413159424,2021-11-29 06:34:28.548654
0.098553105,0.34108737536000033,0.351756288,2021-08-19 02:33:21.712039
0.034508823,0.21317838847999954,0.213762048,2021-06-13 07:34:11.767492
0.004310498,0.15250194432000036,0.147136512,2021-05-01 17:18:04.674101
0.056661169,0.2764792422400002,0.254889984,2021-05-02 17:56:09.803575
0.013169727,0.17076789248000004,0.16756736,2021-05-06 12:46:14.611221
0.043294438,0.23199801343999904,0.228642816,2021-05-04 21:08:13.652048
0.117378391,0.37848971264000086,0.380116992,2021-07-07 20:35:01.359043
0.114546158,0.37367494655999983,0.493625344,2022-04-25 03:36:45.818916
0.00690247,0.15737899007999995,0.158191616,2021-10-20 12:37:01.99316
0.007807385,0.15775709184000034,0.160374784,2021-11-11 19:35:39.437702
0.004454575,0.15251738623999944,0.150102016,2021-05-25 14:33:33.487963
0.129629799,0.4053182463999995,0.407519232,2021-07-12 00:34:55.082032
0.007890281,0.16043581440000035,0.160178176,2021-11-11 02:00:28.840761
0.135821751,0.41372594175999977,0.417304576,2021-06-27 12:33:52.866328
0.056960547,0.2585590374399996,0.25851904,2021-11-16 04:35:19.356469
0.146743414,0.44158799872000093,0.434958336,2021-04-19 23:08:57.835257
0.014181125,0.17531228159999973,0.159023104,2021-07-11 03:35:06.011503
0.144506652,0.4332399206400007,0.43433984,2021-09-13 01:32:15.65721
0.115110213,0.3682214911999999,0.371924992,2021-04-28 21:50:34.265875
0.107433143,0.3567304499199996,0.30332928,2021-09-14 12:35:17.721617
0.110156942,0.3657240985599987,0.365264896,2021-07-11 08:36:13.065997
0.016840685,0.1777267916799997,0.178221056,2021-08-05 14:57:06.986053
0.007221578,0.16023201792000027,0.180518912,2021-08-03 22:56:05.049959
0.067941918,0.28100573183999944,0.277041152,2021-05-02 08:53:55.509639
0.140287781,0.3486096793599991,0.571183104,2022-04-24 16:35:44.945293
0.096848861,0.3411016294400012,0.33810432,2021-10-20 18:34:35.229638
0.051308779,0.24764385279999968,0.244232192,2021-05-01 01:36:52.649158
0.016121882,0.1749177344000003,0.177737728,2021-07-07 08:38:11.060212
0.121020016,0.389313822720001,0.38719488,2021-08-23 17:31:14.679551
0.038803108,0.22015946752,0.218959872,2021-04-17 20:33:16.371972
0.172807449,0.49040654335999934,0.499728384,2021-05-04 12:59:51.643779
0.177515261,0.49873002495999946,0.500228096,2021-09-13 07:31:29.255708
0.136489006,0.41875601408000046,0.414814208,2021-04-23 05:19:24.735163
0.069174463,0.281259909120001,0.279834624,2021-05-27 15:37:44.85867
0.093862846,0.3321065267199995,0.338481152,2021-11-29 01:33:35.318298
0.090403371,0.31537926144000034,0.32202752,2021-05-03 04:40:21.479966
0.148493689,0.44201994240000064,0.443052032,2021-07-12 13:34:55.331179
0.108542242,0.34421784576000064,0.359030784,2021-11-23 14:34:19.481501
0.191497968,0.528421765120001,0.525324288,2021-05-04 05:51:11.677723
0.035853036,0.21570091008000022,0.2164736,2021-10-10 16:33:44.463895
0.10068823,0.3434767974399996,0.343146496,2021-05-03 05:23:33.844951
0.081031153,0.30500007935999973,0.320458752,2021-09-10 19:33:20.538077
0.167852179,0.4807482982399994,0.485851136,2021-11-28 12:32:53.540361
0.002350416,0.14648752128000037,0.145969152,2021-05-13 19:33:35.99735
0.084335033,0.3131073740799992,0.310194176,2021-04-19 01:06:29.179633
0.195070354,0.5332800511999987,0.535527424,2021-08-28 19:35:43.799161
0.087264659,0.37866874879999907,0.3197952,2021-08-29 18:37:06.738405
0.14896454,0.4394425838933332,0.448581632,2021-11-29 17:32:53.528022
0.041495255,0.2554742784000004,0.232321024,2021-11-29 08:32:45.341111
0.137322212,0.45602301952000074,0.400744448,2021-07-10 02:36:23.019051
0.128453117,0.40503584767999956,0.401133568,2021-05-25 02:40:20.233547
0.046824731,0.23901474815999968,0.239243264,2021-07-10 20:34:36.711251
0.057553622,0.25774487551999953,0.261111808,2021-09-23 01:32:03.872576
0.153195041,0.45339006976000035,0.609972224,2022-04-24 21:35:52.189193
0.062027437,0.2664666931200001,0.27441152,2021-09-14 00:37:59.195304
0.047398435,0.24445247488000066,0.241823744,2021-09-12 05:33:16.48845
0.038239282,0.2217948979199997,0.227053568,2021-11-29 06:36:46.057429
0.142088698,0.4265266380799995,0.429170688,2021-09-28 02:45:22.485658
0.026875554,0.20113528831999958,0.199798784,2021-06-16 15:33:09.335629
0.087239254,0.378681651199999,0.319225856,2021-09-02 18:38:00.287684
0.08758652,0.3144297881600002,0.318533632,2021-04-27 22:32:46.735034
0.175318589,0.49968953344000133,0.676585472,2022-04-24 21:36:05.30993
0.129994191,0.4043487641599996,0.29534208,2021-09-12 02:32:37.561849
0.078010482,0.29462034431999945,0.297582592,2021-04-20 00:47:38.519713
0.050572643,0.24582207488000019,0.249413632,2021-06-16 00:36:48.390134
0.092188563,0.32652953599999973,0.325922816,2021-04-20 01:09:09.119094
0.023503978,0.21097748480000061,0.195268608,2021-10-26 19:32:24.139495
0.076703104,0.2911602278400008,0.2998272,2021-06-24 14:34:48.26531
0.064047233,0.27094804480000007,0.273240064,2021-06-18 21:16:42.075617
0.125171369,0.395083489280001,0.395583488,2021-07-08 13:32:44.976274
0.068134777,0.2752144793599995,0.280879104,2021-06-24 23:35:15.764148
0.099379671,0.33979889664000035,0.34045952,2021-05-13 19:33:12.590272
0.050114827,0.24461342720000048,0.300228608,2021-12-15 11:32:48.754728
0.118236181,0.3796376780800007,0.383688704,2021-10-29 16:37:29.564065
0.11462988,0.37091131391999943,0.377163776,2021-07-12 15:35:19.24455
0.149626813,0.5326382489600009,0.44460032,2021-08-28 18:37:17.258998
0.169142131,0.4863274188799987,0.480509952,2021-05-01 01:34:26.821873
0.104484668,0.35358606131199943,0.352976896,2021-04-17 23:32:12.306881
0.129391299,0.4024737382400002,0.40380416,2021-08-19 00:33:52.316256
0.097362816,0.3364872806400001,0.343646208,2021-06-17 14:33:34.988162
0.148319923,0.4410440703999993,0.442134528,2021-06-13 05:32:39.810101
0.071694236,0.28716838911999987,0.288145408,2021-08-25 14:39:44.711631
0.11538064,0.3733925068800001,0.37576704,2021-07-11 04:37:05.653058
0.141571615,0.42978918399999927,0.428474368,2021-08-22 02:36:42.690732
0.143414754,0.43071203327999924,0.583077888,2022-04-24 10:35:45.330542
0.077613554,0.3067061862400006,0.304828416,2021-06-16 12:34:31.058901
0.060530167,0.3116470681599997,0.26566656,2021-07-08 00:39:40.674347
0.031279826,0.20762136576000048,0.211447808,2021-06-12 17:35:25.162806
0.062250591,0.2654690304000004,0.26601472,2021-05-08 14:34:26.413707
0.115270516,0.378280366079999,0.376078336,2021-10-12 00:36:56.676659
0.027310585,0.1988847206400004,0.202420224,2021-09-21 15:32:33.316645
0.063119683,0.2690545459199994,0.267685888,2021-05-11 20:33:21.732477
0.124163081,0.39115180031999996,0.393797632,2021-06-28 00:36:58.961671
0.071044896,0.28850542592,0.291426304,2021-06-12 19:34:13.359837
0.026272993,0.19989901312000005,0.192569344,2021-11-23 16:36:19.491389
0.136876156,0.41891485695999864,0.418340864,2021-08-28 16:36:24.313068
0.000208229,0.14500954111999967,0.146169856,2021-08-05 17:45:27.959569
0.056657961,0.2764828262400003,0.254922752,2021-05-04 01:42:03.106067
0.110116111,0.36547039231999984,0.366804992,2021-07-12 12:40:29.534421
0.026121363,0.19275417599999994,0.19922944,2021-07-14 20:33:52.909282
0.069160576,0.282677084160001,0.2799616,2021-05-25 08:39:12.592163
0.143422579,0.42756120575999956,0.431816704,2021-10-10 20:33:12.058721
0.128633179,0.40032030720000056,0.403296256,2021-09-07 08:03:55.642423
0.058358188,0.2627134259200002,0.26179584,2021-07-12 18:35:43.387378
0.018857852,0.18223781887999987,0.178929664,2021-05-13 13:35:28.303471
0.055906169,0.25620289536000074,0.25675776,2021-06-16 20:36:23.818144
0.126778592,0.4000989593600005,0.399110144,2021-07-14 08:35:18.824693
0.187875828,0.4965899673599997,0.517992448,2021-05-16 03:32:09.434163
0.140888051,0.4278113075199998,0.43155456,2021-06-28 00:38:02.706305
0.060499264,0.28746235904000045,0.260313088,2021-11-22 05:33:31.274993
0.048360531,0.24098068479999962,0.24131584,2021-11-16 02:39:07.590926
0.134892754,0.37483608063999896,0.41170944,2021-05-12 14:33:05.69355
