Tool name: rna_star/2.7.5b
Dataset_path: ../experiments/Experiment 2 - Transformations/data/rna_star-2.7.5b/rna_star-2.7.5b-ready.txt
Seed: 0
Model_params: [["C", 1.0], ["cache_size", 1000], ["coef0", 0.0], ["degree", 3], ["epsilon", 0.1], ["gamma", "scale"], ["kernel", "rbf"], ["max_iter", -1], ["shrinking", true], ["tol", 0.001], ["verbose", true]]
Time for training in mins: 0.6422415455182393
Feature importance: []
Mean absolute error: 19.378676421355213
Mean squared error: 2576.7965113526184
Root mean squared error: 50.76215629140096
R2 Score: 0.06886676074713494
Mean cross-validation test score: 0.06462933026661774
############################
Filesize (GB), Prediction (GB), Target (GB), Create_time
############################
1.357152446,46.13355388664279,52.4030976,2020-09-20 16:25:57.848894
0.852787726,41.471130643459794,44.812140544,2020-09-15 18:00:30.49525
0.881415978,41.64531046563629,42.987978752,2020-09-15 18:00:34.216964
2.970982794,55.492234414191735,47.190290432,2020-10-19 14:26:30.644752
3.483838958,58.9779283300527,49.1044864,2020-10-15 11:30:34.941599
4.612605831,65.92842640526105,134.14490112,2020-10-01 12:48:01.260561
0.838956115,41.387243225048636,40.029913088,2020-09-15 18:00:34.008148
7.679324892,79.29035791958854,54.213607424,2020-09-14 19:00:03.356651
2.606119073,54.63622167200926,71.04047104,2021-05-31 13:11:43.931601
4.742963345,66.67679693652174,63.437156352,2020-10-07 13:47:21.634632
3.847350747,61.26423756408651,686.150561792,2020-09-14 19:00:03.310692
3.773351856,60.79158992473376,59.48891136,2020-12-01 18:16:24.446603
5.826243835,72.29010746910234,94.28844544,2020-10-03 20:58:27.707313
0.77232062,40.985593431910225,40.139464704,2020-09-15 18:00:30.844094
1.481471267,48.69272780163155,23.978532864,2021-06-15 08:40:41.498204
2.936181584,55.257064715526504,46.090149888,2020-10-14 07:19:48.373315
0.353641527,37.25052645452614,9.854660608,2020-10-14 08:17:10.444536
1.820577004,47.689929775764426,42.558148608,2020-10-08 07:17:34.522251
0.401861105,37.53314865871309,10.634027008,2020-09-16 10:11:25.437374
34.420017657,83.43214085797874,88.61997056,2020-10-16 03:40:53.705761
5.547764172,70.95457951783096,73.63842048,2020-09-24 14:05:44.083237
4.131450125,63.04600942716468,65.081163776,2020-12-01 16:39:09.316146
1.043647782,44.31966212371465,48.564154368,2020-11-16 13:39:06.545122
0.806274682,41.18973419506571,41.3198336,2020-09-15 18:00:30.417243
4.112019497,62.92590578524561,178.70901248,2020-12-01 16:39:09.285872
1.007106198,44.112291463272825,33.764814848,2020-11-16 18:38:03.954856
11.827158432,87.15024975112487,89.171922944,2020-08-30 18:19:47.666133
8.368500137,81.15586690992386,24.836046848,2020-08-18 13:42:43.910033
0.784343605,41.05775404101929,40.594591744,2020-09-15 18:00:30.856941
0.78474838,41.06018584473583,41.994350592,2020-09-15 18:00:33.192396
3.647947437,59.98325696716794,84.857040896,2020-10-01 12:49:13.478952
2.190081975,50.183294996953165,34.78511616,2021-01-21 10:43:13.075101
0.269933404,40.16244319823021,44.673298432,2020-12-01 16:03:34.480028
4.649021819,66.13895472801836,71.278370816,2020-08-15 11:27:45.220246
3.481522825,58.89738926308304,16.455348224,2020-11-28 10:29:42.838082
0.83154056,41.34234086117135,42.516004864,2020-09-15 18:00:31.865713
51.741340505,80.38548298158095,106.660462592,2020-10-04 21:21:23.761387
4.062545344,62.61889288270259,63.504498688,2020-10-06 18:28:20.809876
9.890691764,81.31563004098606,73.607364608,2020-10-22 14:08:13.340587
7.295109849,78.09312717347738,85.216497664,2020-08-17 23:52:35.723104
0.936283855,43.71306689719191,36.0579072,2020-11-12 16:22:07.954922
0.789220658,45.20657503147564,68.424093696,2020-08-12 07:19:39.809036
0.368505138,38.64782275019482,6.828744704,2020-10-13 21:41:34.338757
0.480784711,38.00202591887323,10.7154432,2020-10-14 07:40:38.960829
0.742466115,40.80700861063738,38.687670272,2020-09-15 18:00:32.79997
4.072164618,62.318004383504814,121.72988416,2020-10-04 10:17:49.249615
0.736860578,40.77357319888874,40.313274368,2020-09-15 18:00:33.986252
0.762587226,40.92727569883762,40.836141056,2020-09-15 18:00:33.443394
0.771232292,40.97906820445162,40.170512384,2020-09-15 18:00:30.857726
5.150075929,68.91661286122813,71.217844224,2020-10-08 17:57:51.225217
0.755157179,40.88281965176667,40.510664704,2020-09-15 18:00:34.130526
0.759837464,40.910816918278194,40.843661312,2020-09-15 18:00:32.388496
1.901806303,48.23472932276697,61.250408448,2020-10-08 14:38:49.559015
0.861895082,41.526461167085955,44.378447872,2020-09-15 18:00:31.170564
0.686284243,44.7116976350477,24.543346688,2021-04-23 23:31:07.003151
0.780307809,41.03351632100439,42.128736256,2020-09-15 18:00:33.429061
1.09094349,46.695926779347744,208.18495488,2020-11-25 12:39:28.245545
0.789220658,45.20657503147564,53.704769536,2020-08-13 11:07:21.968098
2.791028711,55.609733332632516,63.103553536,2020-10-23 19:34:39.10506
7.225781106,79.738172475814,78.2212096,2020-11-20 17:29:20.079237
6.103311839,73.54308712584329,79.547060224,2022-01-07 08:43:22.833399
0.401641494,37.53185480306246,10.729406464,2020-10-14 08:16:33.612558
0.289627721,40.26130413004449,47.218315264,2020-11-04 11:20:40.031318
0.782339647,41.04571696817932,40.439230464,2020-09-15 18:00:32.989873
7.281177537,78.04740671358667,77.314101248,2020-08-30 18:19:47.640987
7.015366258,74.94081827494317,73.674289152,2020-10-26 06:54:33.964625
8.880800702,82.34139917625026,81.539223552,2020-10-19 13:34:34.718412
5.198053589,69.17049834065124,70.363168768,2020-10-08 17:57:51.279008
0.783139818,41.050522857900205,41.966288896,2020-09-15 18:00:30.647626
3.014975946,56.1916274330233,46.826266624,2020-12-02 17:32:46.496486
7.58675179,81.0112301834605,84.643364864,2020-08-25 09:56:55.758132
3.120560439,56.49934101556752,16.42049536,2020-09-12 16:15:35.36731
32.924025481,82.7078997498244,97.485836288,2020-10-16 01:50:01.275413
4.671780963,66.26995573239728,69.355569152,2020-08-17 12:05:07.166503
0.799980123,41.1518075242041,40.601944064,2020-09-15 18:00:32.165987
5.245523228,69.41955249532501,71.814418432,2020-10-08 17:57:51.314476
0.107594941,42.08421638020041,6.503264256,2020-08-07 10:34:33.618155
0.773870575,40.994888361763984,40.461852672,2020-09-15 18:00:34.110505
1.003903006,44.094157840453676,33.76492544,2020-11-16 16:27:13.262182
0.843947094,41.41749285073533,43.933720576,2020-09-15 18:00:30.446662
0.265257449,40.139031453173445,44.074651648,2020-11-18 09:57:53.993705
3.982112313,61.82047822701246,55.044038656,2020-10-20 10:52:31.187355
7.185934156,77.73038191768227,122.214371328,2020-12-01 09:37:06.549838
5.736729386,71.86912856614404,120.272080896,2020-11-06 07:21:27.986711
2.890406301,54.947315769073775,47.884775424,2020-10-19 12:36:05.384993
0.264886463,40.13717498383474,50.961137664,2020-11-10 08:30:40.695796
7.124271955,79.35762157461288,78.443819008,2020-11-15 20:40:38.756995
5.195488552,69.1569798028761,66.607108096,2020-10-08 17:57:51.214022
0.770319018,40.97359341129636,40.815374336,2020-09-15 18:00:32.578219
4.061348261,62.611443130933154,50.018820096,2020-08-30 18:19:47.628349
5.416928474,69.0079067608591,69.624336384,2020-08-07 19:50:04.735109
1.786836384,47.464331254318026,10.838237184,2020-11-03 22:07:47.458792
1.406491887,48.30445571868553,65.781174272,2021-09-05 00:49:10.082381
0.77167869,40.981744511245594,41.41283328,2020-09-15 18:00:32.541265
7.15089303,79.45840097194197,119.7193216,2020-11-15 04:14:18.529459
6.7575774,76.20496289615944,72.684855296,2020-08-24 15:32:39.243943
1.081099588,46.6465109983171,37.306544128,2021-09-03 19:41:05.488764
4.061348261,62.611443130933154,76.782579712,2020-09-14 19:00:03.335082
1.282449233,47.66685035116657,49.218777088,2020-09-08 13:28:23.99796
5.463587843,70.53594165458084,138.147315712,2020-10-05 07:36:05.226529
0.850932266,41.459867298179645,10.472820736,2020-08-20 09:28:13.571466
0.720999331,40.67913143323767,39.96588032,2020-09-15 18:00:31.379722
1.059204414,44.40822260225677,33.789054976,2020-11-16 18:33:24.864354
0.463584308,37.89918403169956,11.774066688,2020-10-14 08:17:04.250543
0.818605248,41.264137060454175,41.735135232,2020-09-15 18:00:31.76512
6.766974432,76.2402232581295,70.503022592,2020-11-19 07:19:30.544374
43.503701637,86.07105480291412,111.70875392,2020-12-14 08:17:13.868992
0.735579825,40.76593816503247,40.718491648,2020-09-15 18:00:31.365253
7.521974849,78.81463545641492,62.621483008,2020-09-02 03:31:57.2364
0.778145902,41.020538951224864,42.905079808,2020-09-15 18:00:31.130781
3.541607495,59.29105133483777,27.568283648,2020-11-19 05:40:13.012545
7.855634809,81.88146899225367,97.147920384,2020-08-18 10:27:41.855378
0.762052206,42.74704018677205,10.104066048,2020-10-03 16:33:29.724602
0.830692677,41.337210022912544,41.468551168,2020-09-15 18:00:32.145325
6.675481912,71.65795235384765,208.18495488,2020-11-23 18:59:00.839866
1.075729697,46.61957609589748,61.59773696,2020-08-26 13:52:12.15404
4.31059209,64.14027947016145,54.683639808,2020-08-30 18:19:47.647071
12.274035104,84.88968796259871,81.787715584,2020-09-15 20:11:05.621322
8.280767068,78.2472225654623,82.402320384,2020-10-28 07:15:01.333233
0.803289602,41.171743529337114,41.366786048,2020-09-15 18:00:32.04619
0.875976014,43.37602046969841,33.764917248,2020-11-12 16:22:08.543851
4.002344166,61.93272511952024,76.875137024,2020-10-12 18:59:11.612508
0.8946722,41.726213310756094,42.920214528,2020-09-15 18:00:31.514139
0.765005873,40.941758578821336,42.288963584,2020-09-15 18:00:32.23151
2.953443607,55.82006880980491,72.342585344,2020-09-08 10:16:13.321811
4.831743885,67.17800956900861,64.621985792,2020-10-07 18:05:02.048561
5.842532895,72.36586447857265,77.709205504,2020-11-12 11:52:28.216579
8.663075158,84.13266083635705,71.43241728,2021-03-23 12:26:28.796054
4.135983005,63.073989004967515,223.2244224,2020-12-02 15:33:35.738988
0.844432537,41.420436271456275,41.892470784,2020-09-15 18:00:31.574126
