Tool name: vcfvcfintersect/1.0.0_rc3+galaxy0
Run configuration:
{   'dataset_path': '../processed_data/sampled_data/vcfvcfintersect-1.0.0_rc3+galaxy0_20000_samples_seed_0.txt',
    'doLogTrafo': False,
    'do_cross_validation': True,
    'model_params': {},
    'model_type': 'svr',
    'seed': 0}
Model_params: [["C", 1.0], ["cache_size", 1000], ["coef0", 0.0], ["degree", 3], ["epsilon", 0.1], ["gamma", "scale"], ["kernel", "rbf"], ["max_iter", -1], ["shrinking", true], ["tol", 0.001], ["verbose", true]]
Time for training in mins: 0.011341722806294759
Feature importance: []
Mean absolute error: 0.08119188982638545
Mean squared error: 0.018266492112933314
Root mean squared error: 0.1351535871256598
R2 Score: -0.39790478290194087
Mean cross-validation test score: -0.12293414366768145
############################
Filesize (GB), Prediction (GB), Target (GB), Create_time
############################
3.6435e-05,0.2223973287470274,0.123695104,2021-03-15 12:33:10.598244
8.9176e-05,0.22240959394027277,0.14544896,2021-08-31 11:02:05.496766
0.000427091,0.22248818473090942,0.141508608,2021-05-03 14:48:06.412909
2.9917e-05,0.22239581297250505,0.155303936,2022-01-16 12:28:25.275311
2.9917e-05,0.22239581297250505,0.155308032,2022-01-18 11:44:41.441595
5.891e-05,0.22240255538932124,0.141139968,2021-06-09 16:29:18.068878
2.9917e-05,0.22239581297250505,0.155127808,2022-01-07 14:03:37.321511
2.9917e-05,0.22239581297250505,0.150294528,2022-01-23 19:34:43.987758
2.9917e-05,0.22239581297250505,0.151482368,2022-03-22 03:23:58.106152
3.6253e-05,0.2223972864224824,0.142196736,2021-04-08 08:40:42.724584
8.9678e-05,0.22240971068437848,0.141295616,2021-04-25 21:13:28.624803
2.9917e-05,0.22239581297250505,0.156491776,2021-12-23 15:29:16.890424
7.3564e-05,0.2224059632583349,0.145854464,2021-07-10 14:47:05.10709
9.8923e-05,0.22241186068757285,0.149430272,2021-06-26 06:14:32.846234
7.032e-05,0.22240520884619414,0.141074432,2021-05-25 21:57:18.579264
2.9917e-05,0.22239581297250505,0.1507328,2022-01-01 22:44:59.226899
0.000105881,0.22241347883540424,0.144621568,2021-10-11 09:08:24.404787
0.000100193,0.22241215603754189,0.145821696,2021-08-27 12:33:43.160941
2.9917e-05,0.22239581297250505,0.14952448,2022-01-15 08:01:17.251869
2.9917e-05,0.22239581297250505,0.158060544,2021-12-18 05:29:14.59885
4.726e-05,0.22239984613321523,0.144949248,2021-08-31 03:39:17.506148
0.000180389,0.2224308066836312,0.145661952,2021-10-02 17:38:23.924559
3.3959e-05,0.22239675294752909,0.144658432,2021-10-23 06:30:58.68768
6.835e-05,0.22240475071112503,0.123240448,2021-03-08 08:39:44.277816
8.102e-05,0.2224076972011279,0.146423808,2021-06-25 02:23:05.206964
8.8658e-05,0.22240947347527046,0.1446912,2021-11-12 17:30:28.947938
5.7908e-05,0.22240232236948182,0.146280448,2021-08-18 09:19:09.554293
5.732e-05,0.2224021856273491,0.14102528,2021-05-26 10:42:15.70234
6.6536e-05,0.22240432885513356,0.144969728,2021-08-17 21:12:16.992213
5.7435e-05,0.22240221237112973,0.145031168,2021-09-14 01:14:54.131305
0.000132829,0.22241974589209096,0.145416192,2021-07-09 22:16:48.033737
2.9917e-05,0.22239581297250505,0.149491712,2022-02-26 00:57:15.239886
4.9372e-05,0.22240033728657121,0.1455104,2021-07-11 08:13:23.389132
7.4e-05,0.22240606465289708,0.145457152,2021-07-06 18:37:36.373715
5.9344e-05,0.22240265631810924,0.14252032,2021-03-31 14:17:49.041469
5.2827e-05,0.22240114076051926,0.141205504,2021-04-29 19:59:03.374173
5.583e-05,0.2224018391210924,0.1446912,2021-11-15 06:07:41.702235
9.6748e-05,0.22241135487206126,0.141991936,2021-05-05 20:35:31.463207
9.2717e-05,0.22241041742862916,0.141422592,2021-04-30 02:08:15.954999
5.1697e-05,0.2224008779744014,0.141033472,2021-04-26 21:48:19.248079
5.8687e-05,0.22240250352960794,0.150061056,2021-11-26 09:52:19.994688
0.000153045,0.2224244473972798,0.143265792,2021-05-13 00:59:17.478577
4.805e-05,0.22240002985056212,0.145072128,2021-07-10 08:14:37.799037
0.000109426,0.22241430326018768,0.142368768,2021-06-09 16:25:21.151252
5.5621e-05,0.22240179051721215,0.125329408,2021-01-10 21:20:15.972706
2.9917e-05,0.22239581297250505,0.149827584,2021-12-19 21:32:32.506813
6.0438e-05,0.22240291073315116,0.145661952,2021-07-13 02:38:02.888173
0.000106116,0.22241353348693899,0.144543744,2021-07-11 12:26:02.201253
0.000107825,0.22241393093165424,0.141205504,2021-05-07 12:02:25.796015
4.5156e-05,0.22239935684074968,0.145829888,2021-07-29 08:15:08.438603
5.6542e-05,0.2224020046998924,0.144719872,2021-07-05 21:41:04.693012
2.9917e-05,0.22239581297250505,0.150003712,2021-12-28 20:12:02.729931
0.000118619,0.22241644118930587,0.142934016,2021-05-03 10:11:07.606421
2.9917e-05,0.22239581297250505,0.149536768,2022-04-27 05:25:23.929331
5.2943e-05,0.22240116773680046,0.141144064,2021-06-10 20:29:13.860191
0.000110037,0.2224144453544064,0.141467648,2021-05-26 05:02:58.059854
9.35e-05,0.22241059952182413,0.145362944,2021-07-06 12:04:18.363674
4.6413e-05,0.22239964916038218,0.146075648,2021-07-29 00:20:29.308304
7.2067e-05,0.2224056151216452,0.144531456,2021-09-26 19:05:55.108349
2.9917e-05,0.22239581297250505,0.150437888,2021-12-15 13:22:42.194285
2.9917e-05,0.22239581297250505,0.149680128,2022-03-08 13:42:54.15364
6.4925e-05,0.22240395420822762,0.142045184,2021-05-25 22:02:35.276364
2.9917e-05,0.22239581297250505,0.149520384,2022-01-08 21:03:51.07392
0.000106649,0.22241365744128344,0.144580608,2021-06-26 20:30:47.603023
5.5618e-05,0.22240178981954578,0.146284544,2021-11-12 17:37:25.356273
2.9917e-05,0.22239581297250505,0.155783168,2022-01-25 22:12:14.705172
4.298e-05,0.2223988508049219,0.14118912,2021-04-26 12:20:33.330522
7.5833e-05,0.2224064909288826,0.145514496,2021-07-11 14:26:41.439933
0.000116192,0.22241587676399616,0.144748544,2021-09-20 20:39:34.699854
0.000115845,0.22241579606541212,0.145985536,2021-08-18 21:36:52.293106
2.9917e-05,0.22239581297250505,0.150044672,2022-01-03 11:11:03.507578
0.000101817,0.22241253371366482,0.143552512,2021-05-08 07:25:37.661079
9.1176e-05,0.22241005905638228,0.140136448,2021-11-23 08:21:13.541651
2.9917e-05,0.22239581297250505,0.157147136,2022-01-03 15:34:22.671901
2.9917e-05,0.22239581297250505,0.158130176,2022-02-07 10:02:49.717015
5.3093e-05,0.2224012026199283,0.123400192,2021-03-09 16:52:27.276844
5.0576e-05,0.2224006172814043,0.146366464,2021-10-21 14:31:27.479786
6.8676e-05,0.22240482652431376,0.145002496,2021-07-11 06:29:06.941497
5.9466e-05,0.22240268468979568,0.150294528,2021-11-26 09:47:55.668023
2.9917e-05,0.22239581297250505,0.15009792,2022-03-30 18:49:03.029758
7.1781e-05,0.22240554861058964,0.141238272,2021-04-30 01:59:34.861723
0.000110323,0.22241451186660982,0.145543168,2021-08-27 03:17:56.052259
0.000186939,0.22243233000294255,0.141295616,2021-05-27 06:45:40.965669
4.2312e-05,0.22239869545946184,0.14221312,2021-04-08 13:46:16.363076
0.000125327,0.22241800121104255,0.141078528,2021-04-24 12:11:11.35408
0.000140017,0.22242141755415096,0.145518592,2021-08-22 19:39:22.434176
7.6177e-05,0.2224065709283412,0.149028864,2021-11-29 09:47:47.045868
9.3277e-05,0.2224105476612998,0.14174208,2021-04-26 10:34:05.558132
9.087e-05,0.22240998789359084,0.141365248,2021-05-24 23:16:33.439332
2.9917e-05,0.22239581297250505,0.149569536,2022-01-12 22:52:05.670584
7.9768e-05,0.22240740603972392,0.149495808,2021-11-29 12:50:12.849766
0.000268197,0.22245122837303938,0.145047552,2021-07-09 16:27:08.545599
5.9073e-05,0.22240259329575168,0.145235968,2021-08-25 05:29:25.338238
7.0741e-05,0.22240530675226872,0.14522368,2021-08-19 03:15:54.288923
0.000168593,0.22242806332479365,0.141553664,2021-05-10 19:50:39.505465
7.8553e-05,0.22240712348309105,0.144314368,2021-08-18 13:46:31.943099
6.6936e-05,0.22240442187737147,0.146243584,2021-07-09 10:24:43.67671
2.9917e-05,0.22239581297250505,0.15480832,2021-12-21 19:26:42.632787
2.9917e-05,0.22239581297250505,0.154435584,2022-01-19 19:47:11.073417
7.2209e-05,0.22240564814462388,0.14104576,2021-05-08 11:30:08.767859
0.000110837,0.22241463140254997,0.144871424,2021-10-17 23:26:34.143939
2.9917e-05,0.22239581297250505,0.149393408,2021-12-06 11:51:37.027802
2.9917e-05,0.22239581297250505,0.149979136,2022-03-12 05:59:45.361768
2.9917e-05,0.22239581297250505,0.15013888,2022-02-25 16:04:43.561516
8.2944e-05,0.22240814464117237,0.125816832,2021-01-07 11:39:40.406318
2.9917e-05,0.22239581297250505,0.150368256,2022-02-15 02:13:21.252508
0.000135456,0.22242035683417588,0.145129472,2021-10-05 04:43:19.300393
0.000133751,0.22241996031477823,0.145195008,2021-09-01 18:09:35.09647
6.3822e-05,0.222403697699673,0.146059264,2021-08-17 11:29:48.768052
7.0334e-05,0.22240521210197767,0.1490944,2021-11-26 06:58:29.911999
7.5471e-05,0.22240640674341322,0.144576512,2021-08-29 01:20:28.927369
2.9917e-05,0.22239581297250505,0.15695872,2021-12-24 22:33:47.700604
6.7123e-05,0.2224044653652752,0.145649664,2021-07-12 08:26:02.207984
2.9917e-05,0.22239581297250505,0.14977024,2022-03-20 10:16:22.000015
2.9917e-05,0.22239581297250505,0.150331392,2022-04-06 05:14:47.067721
4.993e-05,0.22240046705159805,0.141115392,2021-05-02 17:47:27.658708
2.9917e-05,0.22239581297250505,0.150503424,2021-12-02 23:22:12.288824
4.7164e-05,0.2223998238080726,0.144338944,2021-10-17 23:32:09.688736
3.8679e-05,0.22239785059494305,0.144744448,2021-07-08 04:26:45.762508
6.4655e-05,0.22240389141827127,0.144543744,2021-08-13 00:50:17.743127
6.1867e-05,0.22240324305426656,0.145113088,2021-08-18 09:20:17.601266
0.000128187,0.22241866633801716,0.141975552,2021-05-14 08:00:01.886146
