Tool name: fastqc/0.73+galaxy0
Run configuration:
{   'dataset_path': '../experiments/Experiment 4 - Correlation analysis/4.1 '
                    'Moderate-high correlation/data/Ready/fastqc-0.73.txt',
    'do_cross_validation': True,
    'model_params': {'n_estimators': 200, 'random_state': 0},
    'model_type': 'xgb',
    'seed': 0}
Model_params: [["base_score", 0.5], ["booster", "gbtree"], ["callbacks", null], ["colsample_bylevel", 1], ["colsample_bynode", 1], ["colsample_bytree", 1], ["early_stopping_rounds", null], ["enable_categorical", false], ["eval_metric", null], ["gamma", 0], ["gpu_id", -1], ["grow_policy", "depthwise"], ["importance_type", null], ["interaction_constraints", ""], ["learning_rate", 0.300000012], ["max_bin", 256], ["max_cat_to_onehot", 4], ["max_delta_step", 0], ["max_depth", 6], ["max_leaves", 0], ["min_child_weight", 1], ["missing", NaN], ["monotone_constraints", "()"], ["n_estimators", 200], ["n_jobs", 2], ["num_parallel_tree", 1], ["objective", "reg:squarederror"], ["predictor", "auto"], ["random_state", 0], ["reg_alpha", 0], ["reg_lambda", 1], ["sampling_method", "uniform"], ["scale_pos_weight", 1], ["subsample", 1], ["tree_method", "exact"], ["validate_parameters", 1], ["verbosity", null]]
Time for training in mins: 0.08374270995457968
Feature importance: [0.6726196  0.05739476 0.26998562]
Mean absolute error: 0.19417755975141915
Mean squared error: 0.1660324141635466
Root mean squared error: 0.4074707525253151
R2 Score: 0.8925652561352082
Mean cross-validation test score: 0.880471099098672
############################
Filesize (GB), Prediction (GB), Target (GB), Create_time
############################
0.357922867,1.0853943824768066,1.194786816,2021-12-08 17:38:35.347088
1.386812055,2.381342887878418,2.106568704,2022-05-15 18:32:36.235351
0.011710282,0.6481461524963379,0.626036736,2022-04-04 08:44:49.975736
1.850436005,1.9310928583145142,2.06708736,2021-10-26 22:34:10.173971
0.383016273,0.8070566654205322,1.399386112,2022-02-21 12:49:36.61071
1.970103113,3.066023588180542,2.865676288,2021-12-22 16:38:53.988654
2.020402663,3.1121201515197754,2.786394112,2022-01-06 11:55:50.980379
1.157784647,1.4605695009231567,1.46526208,2021-10-27 12:50:21.461626
0.096041441,0.34211239218711853,0.170795008,2021-11-19 19:02:26.116618
0.514470632,1.6396863460540771,1.996906496,2022-04-09 07:07:31.208969
1.9471166,2.267326831817627,2.345140224,2021-11-22 22:15:12.848155
0.009257151,0.5917859077453613,0.323301376,2022-02-22 13:57:54.744832
5.198889626,4.28754186630249,4.297064448,2022-02-02 10:42:22.932432
3.131828279,4.074065208435059,4.295335936,2022-01-18 17:08:22.948834
0.249331412,0.4910726547241211,0.56715264,2021-11-04 10:00:00.824227
0.066380655,0.3511163890361786,0.2628608,2021-11-12 12:08:17.554231
0.04541982,0.33020535111427307,0.364118016,2021-10-09 16:01:23.267541
0.069082369,0.34917354583740234,0.28811264,2021-11-06 21:05:20.392529
3.331100894,3.64224910736084,3.618648064,2021-11-26 13:13:17.642336
4.591874947,4.274263858795166,4.297064448,2022-04-10 06:26:00.707897
2.006057507,3.058730125427246,3.464142848,2022-04-12 07:54:12.997492
0.538086322,0.8269138336181641,0.728117248,2021-11-21 10:31:02.744169
0.033988007,0.35129314661026,0.266145792,2021-11-24 01:16:45.021934
0.11047434,0.8907136917114258,0.732127232,2022-03-08 22:43:18.303077
0.122702346,0.37601715326309204,0.4601856,2021-11-22 09:27:52.976651
0.781485124,0.9519184827804565,0.963141632,2021-11-18 15:12:10.267923
0.672275882,0.9230969548225403,0.8531968,2021-09-25 16:59:23.253996
0.000323212,0.20680953562259674,0.177778688,2021-10-09 11:52:03.606778
1.173551968,1.4881727695465088,1.569841152,2021-10-27 13:15:23.108051
0.009616783,0.2596222460269928,0.192274432,2021-10-09 16:01:23.06576
1.428570002,2.5747649669647217,2.870657024,2022-03-16 11:35:52.816397
0.008708345,0.46506157517433167,0.716906496,2022-02-03 13:03:54.717013
0.002824478,0.22000384330749512,0.288505856,2021-11-03 18:16:29.204156
1.519871964,1.5387561321258545,1.73449216,2021-10-14 18:40:04.446025
2.553861823,2.927089214324951,2.723561472,2021-11-29 13:11:21.664961
2.467578686,2.7607789039611816,2.899243008,2021-10-31 17:49:51.76494
1.579835215,2.5804381370544434,2.492563456,2022-01-27 14:56:46.54202
0.00834754,0.47095775604248047,0.368410624,2022-04-29 05:47:55.289316
0.58535081,1.4930943250656128,1.369935872,2021-12-15 08:47:23.835194
0.002344703,0.34786680340766907,0.342900736,2022-02-05 11:43:52.071712
0.462644492,0.992796003818512,0.362921984,2021-11-18 16:39:01.408201
0.0084468,0.20666714012622833,0.32585728,2021-11-23 20:16:08.420571
0.039251328,0.7473867535591125,0.482557952,2022-02-02 13:40:29.116677
0.032368347,0.6267611384391785,0.827682816,2022-04-29 05:47:55.289293
1.853923368,2.9177632331848145,2.619994112,2022-03-03 14:24:24.834242
4.673e-06,0.3934031128883362,0.227106816,2022-05-12 12:37:47.342683
0.006839698,0.3816912770271301,0.315764736,2022-02-23 11:14:59.749923
0.026181649,0.6917989253997803,0.405536768,2022-03-10 09:31:44.812868
1.141960692,2.2463929653167725,2.615857152,2022-02-25 14:22:06.40217
0.53560101,0.8269138336181641,0.856256512,2021-11-18 12:18:49.919404
0.002345543,0.34786680340766907,0.314478592,2022-03-18 12:55:59.644152
0.186162893,1.0997148752212524,1.87213824,2022-05-03 08:22:45.587233
2.404495197,2.732917308807373,2.547884032,2021-09-21 15:08:17.736793
1.403505873,2.3794965744018555,2.109366272,2022-04-12 15:39:37.893237
8.6976e-05,0.18654987215995789,0.14831616,2021-10-25 12:19:20.882841
0.026024383,0.7096462249755859,0.39991296,2022-02-10 10:11:56.466518
3.795600261,3.977004051208496,4.131876864,2021-11-16 14:48:25.647022
2.514551364,3.8365824222564697,3.278176256,2022-03-22 06:54:24.664979
0.036080815,0.32928046584129333,0.240431104,2021-10-13 14:01:19.423411
0.010523102,0.5155477523803711,0.716066816,2022-02-16 06:54:38.480563
0.001932909,0.22504258155822754,0.18014208,2021-11-06 10:33:46.346177
18.13365201,4.296194553375244,4.297060352,2022-02-09 04:32:50.843791
10.242369714,4.296194553375244,4.297064448,2022-03-22 09:12:43.824362
0.034445246,0.7596452832221985,0.790478848,2022-01-10 10:05:00.245151
0.009339875,0.5776457786560059,0.595509248,2022-02-22 13:57:30.075622
1.76264622,2.831873893737793,2.490773504,2022-04-12 15:39:37.893312
0.030622341,0.23714914917945862,0.257675264,2021-10-16 11:57:29.864674
15.169708368,4.296194553375244,4.295225344,2022-02-19 08:06:51.597302
0.19556998,0.43047034740448,0.53520384,2021-11-06 15:47:26.449719
0.231859319,1.2584391832351685,1.76519168,2021-12-22 01:20:15.644704
0.286714145,0.411008358001709,0.634712064,2021-11-16 22:34:26.472063
2.829422562,2.547079086303711,3.098783744,2021-10-12 12:14:50.420914
0.00340783,0.3039185106754303,0.300847104,2021-12-06 10:55:04.955554
0.031252867,0.7269551157951355,0.424951808,2022-03-10 09:31:44.812574
1.628099942,2.906778573989868,3.115872256,2022-04-28 17:27:19.74846
0.069214617,1.0013982057571411,0.8807424,2022-02-02 13:40:29.114207
0.122245117,0.9595406651496887,0.899833856,2022-02-09 14:08:17.430003
2.153628326,2.4646496772766113,2.490191872,2021-10-19 18:30:09.544025
0.15081472,0.430777370929718,0.487661568,2021-10-03 13:31:02.385967
0.075137939,0.8103245496749878,0.841146368,2022-02-15 11:27:29.467165
0.033480343,0.7596452832221985,0.77961216,2021-12-26 01:46:31.709202
1.3767381,1.577465534210205,1.716568064,2021-11-04 14:39:29.654692
0.002142686,0.219876229763031,0.187875328,2021-10-22 16:02:10.706224
1.566263332,1.8539831638336182,1.943384064,2021-09-29 09:09:22.907806
0.823911523,1.068838119506836,1.204486144,2021-10-11 09:57:49.697599
2.060385926,2.5083773136138916,2.84250112,2021-12-10 15:13:04.905552
1.278104582,1.5919780731201172,1.48754432,2021-10-28 17:15:22.581564
3.041202147,3.3344826698303223,3.129069568,2021-10-26 04:28:32.514095
0.10847684,0.3972303867340088,0.360771584,2021-11-24 01:16:45.001035
1.428570002,2.5747649669647217,2.9362176,2022-03-20 12:10:55.938165
0.575853683,0.8126248717308044,0.775094272,2021-10-03 06:44:47.835102
2.345359671,2.622105360031128,2.53761536,2021-10-27 09:06:48.8516
0.148117286,1.1861275434494019,1.121529856,2022-02-24 11:54:48.627948
