Tool name: rna_star/2.7.2b
Run configuration:
{   'dataset_path': '../experiments/Experiment 4 - Correlation analysis/4.2 '
                    'Low-moderate correlation/data/rna_star-2.7.2b.txt',
    'do_cross_validation': True,
    'model_params': {},
    'model_type': 'svr',
    'seed': 0}
Model_params: [["C", 1.0], ["cache_size", 1000], ["coef0", 0.0], ["degree", 3], ["epsilon", 0.1], ["gamma", "scale"], ["kernel", "rbf"], ["max_iter", -1], ["shrinking", true], ["tol", 0.001], ["verbose", true]]
Time for training in mins: 0.6020675102869669
Feature importance: []
Mean absolute error: 17.49168539800609
Mean squared error: 3540.463854636956
Root mean squared error: 59.5017970706512
R2 Score: -0.009563745200890317
Mean cross-validation test score: 0.016755407114752496
############################
Filesize (GB), Prediction (GB), Target (GB), Create_time
############################
1.707601553,44.139099592288744,37.629444096,2020-07-06 19:09:20.71505
0.721221496,40.80204459484632,39.479672832,2020-11-23 05:56:05.239615
1.988743576,40.68757375836377,76.96175104,2021-08-03 10:00:12.512095
0.055699919,33.21412202264884,27.87549184,2020-06-01 14:31:38.967048
0.856557201,41.107773706860996,41.582882816,2020-11-23 05:37:33.21726
0.800298284,40.974713528736466,113.97951488,2020-11-29 01:42:47.370145
1.143002978,41.91649649375148,44.610875392,2020-09-09 09:44:31.252461
1.587736263,43.599368246929,38.23456256,2020-06-30 00:22:07.342677
7.555449049,84.10566379231159,22.26427904,2020-03-03 20:47:03.267732
0.024246579,33.17749727710044,27.587981312,2020-06-01 14:26:20.784379
1.355072339,42.65513809129247,43.097227264,2020-07-14 17:30:44.720617
0.871765943,41.14520188081489,43.531268096,2020-11-21 01:13:12.314697
0.797144712,40.96750621221811,41.99221248,2020-11-03 19:45:38.866549
0.223001023,33.45535574820132,33.311330304,2021-12-18 14:01:49.763344
10.955659856,86.43867162590686,87.158751232,2020-04-11 17:53:44.804477
0.522800445,40.442632978349934,32.216018944,2020-03-23 15:15:10.778981
0.983716672,35.54341792352033,69.44190464,2020-04-25 14:54:15.52173
1.480961954,39.99612614365637,63.374675968,2020-04-14 18:50:00.787666
